category,cv_text
Accountant,tammy jones accounting professional 4759 sunnydale lane plano texas united states 75071 1234567890 emailyouremailcom organized accounting professional record success helping clients decrease costs balance books reconcile accounts naturally curious committed gaining applying new expertise bilingual fluent english spanish professional experience xyz accountants sacramento ca accounting specialist ensure accuracy transactions clients vendors employees collaborative role working closely managers staff members highlights identified averted 250000 lost revenue bank errors january 2012 present accounting expert month five times outstanding diligence accuracy enhanced client relationships actively addressing resolving late payments education bachelor science bs accounting minor business administration sacramento university sacramento ca key skills account reconciliation cost reduction elimination reporting documentation team collaboration client relations generally accepted accounting principles gaap statutory accounting principles sap accounting system languages spanish italian
Accountant,john doe accountant burnside heights hu 7 yrs exp 36 2563987452 accountantexamplecom summary certified accountant account reconciliations streamlining accounts financial planning highly motivated professional proven track record delivering accurate reports high quality service possess comprehensive understanding aspects accounting financial planning dedicated leader ability lead effective teams attaining profit improvement professional experience accountant huntington associates minchinbury um jul 2017 sep 2019 oversaw management company accounts processed staff payroll main aspects financial transactions managed accounting teams ensured accounting records complete accurate explained financial matters people outside finance department comprehensive way remained professional discreet handling sensitive private financial matters working closely junior staff members aiding progression careers staff accountant dubone partnership minchinbury um nov 2012 sep 2016 managed accounts analyzing costs revenues projected future trends based analysis work managed complex expense reporting develop strategies minimizing tax liability work closely auditors audit processes performed financial risk assessments future business projects organized sales profit reports prepare review submit crucial budget plans company goals accounting records manager pepsico minchinbury um oct 2011 oct 2012 key skills interpersonal skills management recruiting leadership self integration integrity certifications certified public accountant cpa pwc mar 2012 certified management accountant cma deloitte mar 2019 achievements perform diversified duties sep 2011 redesigned implemented effective timely procedures
Accountant,james clark senior accountant details address 6500 rossey street philadelphia pa 19119 united states phone 267 2562108 email clarkz james19gmailcom skills interpersonal skills management recruiting leadership profile certified accountant five years experience account reconciliations streamlining accounts financial planning highly motivated professional proven track record delivering accurate reports high quality service possess comprehensive understanding aspects accounting financial planning dedicated leader ability lead effective teams attaining profit improvement employment history accountant huntington associates jul 2019sep 2021 oversaw management company accounts philadelphia processed staff payroll main aspects financial transactions managed accounting teams ensured accounting records complete accurate explained financial matters people outside finance department comprehensive way remained professional discreet handling sensitive private financial matters working closely junior staff members aiding progression careers staff accountant dubone partnership nov 2014sep 2018 managed accounts analyzing costs revenues projected future trends based analysis work managed complex expense reporting develop strategies minimizing tax liability work closely auditors audit processes performed financial risk assessments future business projects organized sales profit reports prepare review submit crucial budget plans company goals accounting records manager pepsico oct 2013oct 2014 new york new york worked supervisor staff twelve finance department members prepared budget analyzed inventories cost goods general accounts served liaison accounting staff external audit staff education master business administration accounting st josephs college jul 2018jul 2020 new york
Accountant,accounts receivable resume accounts receivable manager 5 years experience managing highvolume accounts implementing collections strategies managing ar teams offering strong expertise contract negotiation financial reporting accounting billing collections systems adept analyzing account payment histories scheduling payment timelines communicating clients minimize aging accounts increase revenue flow professional experience gridpoint inc arlington va accounts receivable manager august 2020 present managed streamlined billing collections processes 350m annual revenues ensuring accurate timely invoicing effective recovery developed 10member contract closeout team closed 100m contracts organize regular meetings operation division managers facilitate communications customers boost payment process manage ar team review accuracy completeness invoices prepared 10 staff members spearheaded new collections strategies minimize 90 outstanding balances 44 3 banyan woods llc arlington va accounts receivable clerk july 2017 august 2020 conduct detailed review contracts proposals ensure 100 accuracy billing terms execution research identify discrepancies make system corrections provide documentation clients collect unpaid balances played key role maintaining less 5 outstanding receivables 60 days devised implemented innovative billing procedures enhancing productivity 15 improving efficiency tracking recovery operations facilitated migration legacy system costpoint working project setup team ensure accurate set contracts blue ridge accounting roanoke va accounting intern july 2016 august 2017 collaborate finance team analyze financial data provide insights decision making purposes including cost analysis revenue forecasting budgeting support accounts payable accounts receivable departments verifying vendor invoices customer payments performing reconciliations resolving discrepancies education additional skills james madison university harrisonburg va master science accounting expert ms office word excel powerpoint quickbooks sap oracle may 2016 indepth knowledge gaap financial regulations honors cum laude gpa 3840 fluent english spanish french strong leadership skills
Accountant,john doe bryan tx 555 5555555 jdoewansnet wwwlinkedincominjdoe senior accountant senior audit accountant optimizing accounting audit operations driving regulatory compliance companies clients seasoned senior accounting leader 9 years multisector expertise respected team leader key contributor planning accounting activities developing audit programs creating sound procedures track record continually identifying seizing opportunities improve team processes training resulting faster period closing risk reduction operational savings accelerated new hire integration teams known going beyond exceeding expectations internal controls regulatory compliance sox compliance us gaap external audits general ledger account reconciliation monthend close reporting financial statements variance analysis risk management project management pl analysis accounting policies procedures process improvement team leadership training coaching mentoring career highlights texas university system college station tx 012022 present internal auditor ii internal audit department texas university reviews allegations incidents fraud performed system conduct auditing activities aligned industry standards budgeted hours deadlines collect analyze information identify risks gather evidence perform highlevel analysis determine audit findings prepare recommendations contribute drafting audit reports participate department meetings conferences client status meetings provide training guidance junior team members identify execute process improvement opportunities collaborate support colleagues sharing information presenting ideas concerns generating discussion maintain open communication management support audit governance planning assisting develop new audit programs accelerated audit teams new hire rampup identifying onboarding gap developing onboarding procedures checklist essential topics timeline completion adopted departmentwide positive manager feedback stgenetics navasota tx 092020122021 senior accountant 345m revenue provider livestock reproductive services one largest semen gendersorting facilities maintained general ledgers 3000 accounts prepared booked hundredline journal entries oracle documented journal entry errors created monitored reconciled segment values erp sources included new accounts departments location cost pool entities among others prepared filed sales use state taxes published exchange rates erp supported international partners uploading trial balance oracle confirmed intercompany ap documented financial footnotes created daily reports uncover financial anomalies within accounts investigated flagged accounts propelled efficiency officewide eliminating extensive manual effort spent footnote review increasing records accuracy migrated accounts erp system moving away excelbased footnotes ingram wallis co pc bryan tx 062019 092020 associate accounting firm providing accounting services local community including business owners individuals ensured regulatory compliance clients prepared filed clients franchise form 990 estate federal state tax returns composed financial documentation scheduled audits distributed clients optimized testing selections via excel pivot tables accounting software calculate materiality determine items required field tests conducted documented audit testing audit programs summarized senior staffs exceptions edited reports tested thirdparty internal controls provided compliance feedback drafted financial documents prepared financial statements preparedbooked journal entries slashed risks key role fully digitizing audits member digital implementation project team collaborated innovate transition methodology fulfilled months ahead projected completion date pbf energy parsippany nj 112016 122018 inventory exchange analyst one largest independent petroleum refiners suppliers unbranded petroleum products us
Advocate,first last bay area california 1234456789 professionalemailresumewordedcom linkedincominusername professional experience resume worded new york ny assistant district attorney prosecuted 100 jury trials including burglary drug offenses assault murder jun 2018 present managed handled 700 cases misdemeanor juvenile felony intake disposition initiated wecare program 2019 assisting clients obtaining education substance abuse intervention employment development expense represented company 2020 general conference managed team 12 peers mentored case trials client interviews collaborated 15 independent detectives government agencies investigate criminal cases complaints growthsi new york ny attorney jan 2015 may 2018 conducted 16 oppositions motions suppress evidence hearings 5 preliminary hearings handled 125 cases interviewing clients discovery disputes preparing expert witnesses trial supervised 3 legal interns 2 entry level attorneys legal issues trial practice evidentiary hearings held 12 training sessions throughout tenure awarded investigator year 2017 interviewed news channel ny1 resume worded san diego ca attorney nov 2011 dec 2014 may 2008 dec 2014 promoted within 18 months due strong performance organizational impact one year ahead schedule conducted 100 cases trial conducted 250 mediations 90 settlement rate interviewed 400 clients victims witnesses court appeals case trials assistant attorney may 2010 oct 2011 managed caseload child support enforcement cases 5 countries evaluated analyzed 75 felonies tax implications owed restitution legal assistant may 2008 oct 2011 prepared formatted 12 litigation briefs 100 accuracy drafted 1000 professional letters ensuring high quality work average 2 days ahead schedule education resume worded university san francisco ca bachelor science candidate major law business administration skills uniscribe may 2010 dropbox lawmanager fund accounting software idea trial pro indata proforce lexisnexis courtlink ms access strategic profiles summation blaze bqe trialdirector visionary legal technologies case handling
Advocate,john doe 123 main road city province 00000 123 4567890 johndoeemailcom targeting following opportunity litigation lawyer dedicated versatile detailoriented litigation associate jd university name significant experience tort accident benefits proven ability accurately execute variety legal administrative functions able effectively juggle several tasks concurrently always meeting requirements deadlines reliable team member demonstrates effective communication interpersonal organizational skills establish maintain professional ties clients colleagues senior personnel known displaying high ethical standards integrity confidentiality always exceeding expectations independently part team legal research drafting summarizing core skills include stakeholder liaison problem solving coverage liability tort accident benefits client services articling databases mediation memos multitasking prioritization team player education ms office suite primafact juris doctor university name city province 2012 personal injury advocacy course performed mock trial defense prosecution delivered opening statements interviewed various experts actual victims received high grade project bachelor arts specialized honours university name city province 2009 graduated member deans honour roll specialized honours bachelor arts kinesiology health sciences professional work experience studentatlaw company name city province aug 2012 june 2013 gained extensive litigation experience tort accident benefits including plaintiff defence work property law became proficient drafting mediation letters little editing needed senior lawyers drafted pleadings mediation briefs pretrial memorandums motion materials highlighted strengths researched drafted initial opinion letters concerning issues coverage liability damages assisted litigation preparation research potential courses action novel area law appeared successful motions status hearings province superior court justice attended discoveries mediations summarized documents liaised clients opposing counsel performed legal research reviewed case law fact scenario letters insurance companies shadowed senior lawyers coordinated wide variety stakeholders daily basis key accomplishment performed extensive lawsuit injunction research major case regarding auto mechanics withholding vehicles clients successfully laid groundwork lawsuit received praise us client
Advocate,robert smith nfc health advocate infoqwikresumecom innovative forward thinking health wellness professional sound knowledge nutrition holistic health health coaching stress reduction highly motivated individual offering creative problem solving solutions results exceeding expectations 20182020 nfc health advocate legal aid society san diego provides case management support patients chronic illnesses order assist achieving medical social stability provides services community outpatient clinic ensure maximum flexibility initiates clinical contact adults chronic medical illness engage setting achieving measurable goals related health care needs throughout various hospital locations assists patients identify obtain appropriate medical social services advocates agencies patients needed assists patient connect federal entitlement appointments via public transportation needed actively participates member interprofessional team working physicians pharmacists social workers therapists psychiatrist provide comprehensive patient care proactively collaborates northwestern medical group programs well communitybased referral sources ensure seamless coordination patient care 20032006 health advocate delta corporation helped hispanic immigrants find healthcare resources facilitates connection services available provided limited case management acted entry point health care mental health services palm beach county residents provided assessment referrals linkage advocacy follow need assistance navigating health delivery system linked mental health clients psychiatric counseling services assisted need prescription assistance develop oversee processes ensure agency compliance federal state regulation regarding health requirements oversee data called health care members behalf variety health insurance companies execute routine health assessments scheduled preventative free resume templates copyright qwikresume com usage guidelines
Advocate,dedicated attorney 10 years experience legal profession eager support prestige legal services achieving clients legal objectives ensuring firms reputation excellence successfully led team landmark case corporate tigation 2015 work history 201006 senior attorney present 200508 201005 education 200100 200505 justice law firm chicago il key qualifications responsibilities managed diverse caseload corporate lawsuits legal predicaments supervised team junior attorneys paralegals provided counsel corporate clients numerous legal issues key achievement 10m cases junior attorney elite attorneys associates chicago il key qualifications responsibilities assisted preparation legal documents conducted research support ongoing cases participated court hearings negotiations key achievement reduced client ability 30 strategic negotiation tactics law juris doctor university chicago law school chicago il relevant extracurricular activities moot court board law review editor academic achievements graduated magna cum laude received cali excellence future award demonstrating excellence study corporate law memberships 200504 member american bar association delivered lecture future corporate law 2017 american bar association conference michael hoffman attorney personal info email michael hoffmanemailcom linkedin inkedincominmichaelhotman phone 312 5555555 skills legal research client counseling case management negotiation team leadership communication critical thinking attention detail languages english spanish hobbyinterest reading legal thrillers participating community legal aid services awards 201805 attorney year american bar association certificates 200502 licensed practice law illinois american bar association
Advocate,robert smith service advocate contact details 1737 marshville road alabama 1234567899 infoqwikresumecom wwwqwikresumecom personal statement 1 psychology instructor 90s college las vegas nv x 10 years 2 usaf x 10 years medic photojournalist us europe 3 three earned university degrees ie baenglish mscommunity counseling psydpsychology 4 five different volunteer social organizations give back community see website work experience service advocate abc corporation july 2014 february 2016 responsibilities advocate supporting individuals serve ensure independent possible develop maintain positive relationship individuals served teach daily living skills individuals served provide oneonone group community integration outings monitor individual physical emotional health obtain services directed report significant issues coordinator administer individuals medications write shift summaries daily basis advocate priest river ministries 2010 2014 responsibilities victims domestic violence sexual assault trafficking volunteer one day per week act advocate victims need assistance shelter clothing civil protection orders childcare perform shelter checks three local locations spokane neighborhood action partners snap spokane wa 2015 present grant writing assistant living green energy conservationawareness outreach program responsible research potential grants available completion letters interest lois completion grant applications editproofreading misc tasks needed golden key international honor society member since 2014 education bachelor arts early childhood education administration ashford university san diego ca skills demonstrated ability assist clients activities languages english native french professional spanish professional interests climbing snowboarding cooking reading references reference 1 company name reference 2 company name free resume template copyright qwikresumecom usage guidelines
